Metric,Value
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.266712
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,10.554779
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,278
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,278
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-2.111348489136301
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.22972423225022562
timing__hold__ws__corner:max_ff_n40C_1v95,0.13015500157152074
timing__setup__ws__corner:max_ff_n40C_1v95,6.6679996744826
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.130155
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,13.939393
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,278
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,278
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:max_ss_100C_1v60,1.59959
design_powergrid__drop__average__net:VPWR__corner:max_ss_100C_1v60,1.59991
design_powergrid__drop__worst__net:VPWR__corner:max_ss_100C_1v60,0.000407562
design_powergrid__voltage__worst__net:VGND__corner:max_ss_100C_1v60,0.000438414
design_powergrid__drop__average__net:VGND__corner:max_ss_100C_1v60,0.0000884747
design_powergrid__drop__worst__net:VGND__corner:max_ss_100C_1v60,0.000438414
design_powergrid__voltage__worst,0.000438414
design_powergrid__voltage__worst__net:VPWR,1.59959
design_powergrid__drop__worst,0.000438414
design_powergrid__drop__worst__net:VPWR,0.000407562
design_powergrid__voltage__worst__net:VGND,0.000438414
design_powergrid__drop__worst__net:VGND,0.000438414
ir__voltage__worst,1.600000000000000088817841970012523233890533447265625
ir__drop__avg,0.000088499999999999996312845251811296520827454514801502227783203125
ir__drop__worst,0.0004079999999999999967838226755389996469602920114994049072265625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
